CLE;ID Operation;Type Operation;Montant;Solde avant;Solde apres;Code proprietaire;Telephone;Statut;ID Transaction;Num bordereau;Date operation;Date de versement;Banque appro;Login demandeur Appro;Login valideur Appro;Motif rejet;Frais connexion;Numero Trans GU;Agent;Motif regularisation;groupe de reseau
1754424415449;2427822941;FRAIS_TRANSACTION;-300;55.631;55.631;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424415449;718768443;;CM
1754424330305;2427821748;IMPACT_COMPTIMPACT-COMPTE-GENERAL;336.72;55.338;55.675;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424330305;718768443;;CM
1754424330305;2427821750;FRAIS_TRANSACTION;-3.367;55.675;55.671;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424330305;718768443;;CM
1754424245863;2427820167;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-102;55.44;55.338;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424245863;718768443;;CM
1754424245863;2427820169;FRAIS_TRANSACTION;-300;55.338;55.338;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424245863;718768443;;CM
1754424188920;2427819279;IMPACT_COMPTIMPACT-COMPTE-GENERAL;78.62;55.362;55.441;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424188920;718768443;;CM
1754424188920;2427819281;FRAIS_TRANSACTION;786;55.441;55.44;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424188920;718768443;;CM
1754424027137;2427817726;FRAIS_TRANSACTION;-5;55.367;55.362;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424027137;718768443;;CM
1754424027137;2427817724;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;54.867;55.367;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424027137;718768443;;CM
1754424014427;2427815824;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-244.2;55.112;54.868;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424014427;718768443;;CM
1754424014427;2427815826;FRAIS_TRANSACTION;-300;54.868;54.867;CELCM0001;null;OK;;null;2025;null;null;;;;;1754424014427;718768443;;CM
